target_id,name,country_resident,red,green,blue
1124,magenta,GB,222,0,197
620,army green,US,95,101,51
989,red,US,178,45,74
1029,lime,GB,110,227,99
923,green,US,42,141,47
722,grass green,GB,96,133,69
1120,bright purple,US,134,86,255
700,forest green,US,0,84,63
701,blue,US,0,79,110
533,black,GB,0,0,0
1078,rose,GB,255,81,111
1092,purple,US,91,32,175
844,green,GB,36,168,131
683,royal purple,US,53,9,48
908,purple,GB,103,48,123
712,pink,GB,171,104,101
1072,magenta,GB,157,45,164
855,light blue,GB,112,150,204
930,mauve,GB,162,100,165
753,pastel green,US,122,190,143
633,brown,US,127,85,96
968,pink,US,247,144,171
817,purple,GB,99,88,148
1049,purple,US,162,93,193
580,blue gray,US,159,178,185
1119,purple,AU,99,0,194
993,blue,GB,0,98,178
638,khaki,GB,169,146,100
626,turquoise,US,48,105,116
615,brown,US,131,85,79
672,pale pink,US,225,193,208
600,brown,GB,47,52,12
980,teal,US,23,255,222
828,flesh,US,212,125,110
727,aqua,US,35,136,130
1041,red,US,219,64,92
811,forest green,US,34,111,41
1083,violet,GB,178,120,244
635,taupe,GB,183,138,130
1029,lime,US,110,227,99
975,green,US,152,253,137
794,purple,AU,72,31,86
1126,violet,US,119,43,234
802,maroon,US,157,69,70
1089,pink,US,255,83,147
1108,royal blue,GB,47,0,160
654,pink,US,235,191,191
1000,rose,US,161,55,126
